BoroName,BoroCode,BoroCD,CounDist,AssemDist,StSenDist,CongDist,StopName,Corner,BusStopID,Routes,Direction,Notes,Elected Official,WO #,Wireless Communication,Release Date,RTPI Complete,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,Location
Manhattan,1,164,6,75,28,12,"5 AV & E 67 ST
404122",,404122,"M72, M66",Westbound,--,Garodnick (M),E129,NYCWiN,,,40.769033,-73.969649,Central Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.969649 40.769033)
Brooklyn,3,307,38,51,17,10,60 ST & 4 AV,SE,300926,B9,EB,,Menchaca (Bk),E022,AT&T,09/17/2019,02/18/2020,40.640578,-74.018124,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.018124 40.640578)
Brooklyn,3,355,39,44,20,10,"FLATBUSH AV 
& GR ARMY PLZ
306716",,306716,"B41 LTD, B41",Southbound,Adjacent to Prospect Park. Directly across from Brooklyn Public Library. Southeast on Flatbush Av.,Lander (K),E135,NYCWiN,,,40.672222,-73.969008,Prospect Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.969008 40.672222)
Manhattan,1,108,5,76,28,12,"YORK AV & 
E 74 ST
(SW Corner)
403726",,403726,M31,Southbound,"South on York Av & west on 
57th St",Kallos (M),E82,NYCWiN,,,40.768033,-73.952959,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.952959 40.768033)
Brooklyn,3,311,47,47,17,11,STILLWELL AV & 85 ST,SW,300189,"B3, B4",EB,,Treyger (Bk),E146,AT&T,10/22/2020,06/03/2021,40.597458,-73.985513,Gravesend (West),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,POINT (-73.985513 40.597458)
Manhattan,1,104,3,75,47,12,10 AV & W 16 ST,NE,405151,M11,NB,,Johnson (Mn),E002,AT&T,08/23/2019,04/22/2020,40.743645,-74.007041,Chelsea-Hudson Yards,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,POINT (-74.007041 40.743645)
Staten Island,5,595,50,64,23,11,"MC CLEAN AV & 
LILY POND AV
(SW Corner)
203411",,203411,S51,Northbound,St George,Oddo (SI),E404,AT&T,11/02/2018,01/22/2019,40.599129,-74.062971,Fort Wadsworth,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.062971 40.599129)
Queens,4,403,21,35,13,14,"ASTORIA BL & 96 ST
(NW Corner)
550635",,550635,"Q49, Q19",Westbound,"West on Astoria Blvd to Astoria, or south to Jackson Heights",Moya (Qn),E295,AT&T,06/20/2018,10/26/2018,40.762859,-73.873427,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.873427 40.762859)
Manhattan,1,105,2,74,28,12,AMSTERDAM AV & W 181 ST,NW,400352,M101,SB,,Rodriguez (Mn),E139,AT&T,09/10/2020,05/03/2021,40.74551,-73.984493,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.984493 40.74551)
Queens,4,402,26,37,12,7,"QUEENS BL & 39 PL
(NW Corner)
503334",,503334,"Q32, Q60",Southbound,Near Sunnyside Senior Center. West along Queens Blvd to Midtown,Van Bramer (Qn),E272,AT&T,05/14/2018,08/17/2018,40.744165,-73.925245,Sunnyside,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.925245 40.744165)
Staten Island,5,502,50,64,23,11,"HYLAN BL & NORWAY AV
(SE Corner)
200660",,200660,"S53, S78, S79 SBS",Northbound / Eastbound,North to St. George or east to Bay Ridge 86th St Station,Oddo (SI),E1,NYCWiN,,,40.598498,-74.08127,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.08127 40.598498)
Manhattan,1,111,5,68,29,12,E 96 ST/3 AV                              401957,,401957,M96,Westbound,"Transfer from M101, M102, and M103 northbound buses west on 96th Street, and across the park",Kallos (M),E234,AT&T,,,40.785357,-73.949465,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.949465 40.785357)
Bronx,2,205,14,86,33,13,E BURNSIDE AV & JEROME AV,NW,103525,"Bx40, Bx42",WB,,Cabrera (Bx),E155,AT&T,10/30/2020,06/16/2021,40.853857,-73.907519,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.907519 40.853857)
Manhattan,1,105,3,75,28,12,W 57 ST & 8 AV,SE,403562,M57,EB,,Johnson (Mn),E008,AT&T,08/29/2019,06/15/2021,40.766592,-73.982719,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.982719 40.766592)
Brooklyn,3,306,39,51,26,10,4 AV & 10 ST,NW,308736,B103 LTD,EB,,Lander (Bk),E075,AT&T,01/23/2020,10/22/2020,40.669918,-73.989286,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.989286 40.669918)
Staten Island,5,501,49,61,24,11,"FOREST AV &
BROADWAY
(SW Corner)
201503",,201503,"X30, S98 LTD, S48",Southbound,East on Forest Av to St. George,Rose (SI),E51,NYCWiN,,,40.628858,-74.116321,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.116321 40.628858)
Manhattan,1,108,5,73,29,12,3 AV/E 88 ST          402696,,402696,"M103, M102, M101",Northbound,-,Kallos (M),E226,NYCWIN,,,40.780478,-73.952701,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.952701 40.780478)
