postgis_fi,lat_y_dd,long_x_dd,lastsurvey,recentspec,recentstat,Nest_ID
361,40.267502,-104.870872,2012-03-16,Swainsons Hawk,INACTIVE NEST,"361"
362,40.264321,-104.860255,2012-03-16,Swainsons Hawk,INACTIVE NEST,"362"
1,38.650081,-105.494251,2014-07-28,Swainsons Hawk,INACTIVE NEST,"1"
2,40.309574,-104.932604,2011-01-06,Swainsons Hawk,INACTIVE NEST,"2"
3,40.219343,-104.729246,2014-07-03,Swainsons Hawk,ACTIVE NEST,"3"
4,40.217638,-104.779386,2011-01-06,Red-tail Hawk,FLEDGED NEST,"4"
5,40.271203,-104.740819,2011-01-06,Swainsons Hawk,INACTIVE NEST,"5"
6,40.357587,-104.737632,2011-01-06,Swainsons Hawk,ACTIVE NEST,"6"
7,40.35966,-104.730698,2011-01-06,Swainsons Hawk,FLEDGED NEST,"7"
8,40.358919,-104.725179,2011-01-06,Red-tail Hawk,INACTIVE NEST,"8"
9,40.000189,-104.860463,2011-01-06,Swainsons Hawk,FLEDGED NEST,"9"
10,40.198163,-104.918726,2011-01-06,Swainsons Hawk,INACTIVE NEST,"10"
11,40.033635,-104.833716,2011-01-06,Red-tail Hawk,INACTIVE NEST,"11"
12,40.327655,-104.574845,2011-01-06,Red-tail Hawk,INACTIVE NEST,"12"
13,40.220769,-104.731024,2014-07-24,Swainsons Hawk,INACTIVE NEST,"13"
14,40.12669,-105.020896,2011-01-06,Swainsons Hawk,ACTIVE NEST,"14"
15,40.225065,-104.627044,2011-01-06,Red-tail Hawk,FLEDGED NEST,"15"
371,40.18432,-104.77275,2012-03-23,Swainsons Hawk,FLEDGED NEST,"371"
913,40.138876,-104.976541,2015-09-10,Red-tail Hawk,INACTIVE NEST,"913"
914,40.140884,-104.951201,2015-09-10,Red-tail Hawk,INACTIVE NEST,"914"
915,40.131518,-104.963308,2015-09-10,Red-tail Hawk,INACTIVE NEST,"915"
916,40.131956,-104.959158,2015-09-10,Swainsons Hawk,INACTIVE NEST,"916"
917,40.368366,-104.963993,2015-10-14,Red-tail Hawk,INACTIVE NEST,"917"
918,40.357932,-104.965152,2015-10-14,Red-tail Hawk,INACTIVE NEST,"918"
919,40.35701,-104.963257,2015-10-14,Swainsons Hawk,INACTIVE NEST,"919"
16,40.243589,-104.730385,2011-01-06,Swainsons Hawk,ACTIVE NEST,"16"
17,40.185072,-104.844298,2011-01-06,Red-tail Hawk,ACTIVE NEST,"17"
18,40.240403,-104.860404,2011-01-06,Red-tail Hawk,INACTIVE NEST,"18"
19,40.226344,-104.850214,2011-01-06,Red-tail Hawk,ACTIVE NEST,"19"
20,40.229449,-104.8522,2011-01-06,Red-tail Hawk,ACTIVE NEST,"20"
21,40.301935,-104.947598,2011-01-06,Swainsons Hawk,INACTIVE NEST,"21"
22,40.196557,-104.851282,2011-01-06,Swainsons Hawk,INACTIVE NEST,"22"
23,40.138615,-104.989487,2014-06-25,Swainsons Hawk,INACTIVE NEST,"23"
24,40.140795,-104.714801,2011-01-06,Red-tail Hawk,INACTIVE NEST,"24"
25,40.231893,-104.860162,2011-01-06,Red-tail Hawk,INACTIVE NEST,"25"
26,40.141795,-104.714559,2011-01-06,Swainsons Hawk,INACTIVE NEST,"26"
27,40.196828,-104.830056,2011-01-06,Red-tail Hawk,ACTIVE NEST,"27"
28,40.181554,-104.603392,2011-01-06,Red-tail Hawk,INACTIVE NEST,"28"
29,40.182014,-104.660659,2011-01-06,Red-tail Hawk,INACTIVE NEST,"29"
30,40.195063,-104.849572,2011-01-06,Swainsons Hawk,INACTIVE NEST,"30"
31,40.175037,-104.946548,2011-01-06,Swainsons Hawk,ACTIVE NEST,"31"
32,40.22518,-104.838378,2011-01-06,Red-tail Hawk,INACTIVE NEST,"32"
33,40.174755,-104.799249,2011-01-06,Red-tail Hawk,INACTIVE NEST,"33"
34,40.019042,-104.942779,2011-01-06,Red-tail Hawk,ACTIVE NEST,"34"
35,40.181961,-104.847581,2011-01-06,Red-tail Hawk,ACTIVE NEST,"35"
